donation_id,amount,donation_time,donor_comment,donation_frequency_from_ip,device_type,geo_distance_from_campaign,is_donor_anonymous,campaign_age,label
don_000000,60.1,2025-08-18 23:14:51,Great cause! Happy to help.,2,tablet,84.7981459573026,True,124,0
don_000001,28.05,2025-08-05 05:16:58,Great cause! Happy to help.,0,tablet,1005.6154322399698,False,297,0
don_000002,220.31,2025-08-17 22:50:29,Hope this makes a difference.,0,tablet,1751.778737579156,False,244,0
don_000003,83.17,2025-08-17 05:20:15,Great cause! Happy to help.,1,desktop,100.33949437483169,False,156,0
don_000004,16.68,2025-08-29 19:59:31,Great cause! Happy to help.,2,desktop,473.1854369498993,False,131,0
don_000005,10.93,2025-08-13 08:47:21,,0,tablet,172.75775600120113,False,294,0
don_000006,14.24,2025-08-02 15:13:25,Keep up the good work!,1,tablet,361.01457751656386,True,231,0
don_000007,2.54,2025-08-22 19:52:08,Great cause! Happy to help.,1,desktop,467.6665103248051,False,140,0
don_000008,16.11,2025-08-26 13:21:04,Keep up the good work!,0,mobile,576.3753815493309,True,350,0
don_000009,103.23,2025-08-06 14:01:59,Hope this makes a difference.,1,tablet,341.7736140670751,False,79,0
don_000010,88.86,2025-08-18 21:37:29,,1,tablet,395.6118989908988,False,246,0
don_000011,7.65,2025-08-04 08:24:32,Great cause! Happy to help.,0,mobile,1746.4035663681132,False,233,0
don_000012,43.05,2025-08-27 07:46:27,,1,mobile,109.06734731563373,True,277,0
don_000013,95.4,2025-08-14 18:10:39,Keep up the good work!,0,desktop,196.7660434015434,True,35,0
don_000014,5.62,2025-08-18 01:56:08,For a better tomorrow.,2,mobile,391.203541603873,True,67,0
don_000015,13.96,2025-08-28 13:15:51,Great cause! Happy to help.,0,desktop,810.2417978873656,False,256,0
don_000016,14.7,2025-08-09 20:37:57,For a better tomorrow.,0,tablet,844.948388743063,True,30,1
don_000017,68.99,2025-08-03 21:38:16,Keep up the good work!,3,tablet,221.94633620811624,False,302,0
don_000018,5.42,2025-08-02 17:59:22,,0,tablet,186.24417520517687,True,163,0
don_000019,123.91,2025-08-11 14:07:15,Keep up the good work!,2,tablet,1091.1259562007574,False,135,0
don_000020,9.53,2025-08-14 13:45:42,Great cause! Happy to help.,4,tablet,369.83941938863353,False,306,0
don_000021,30.24,2025-08-04 09:33:52,,1,mobile,57.08371759593292,True,176,0
don_000022,36.76,2025-08-11 19:49:16,For a better tomorrow.,1,desktop,1190.6327649229877,False,238,0
don_000023,23.13,2025-08-05 10:16:31,Hope this makes a difference.,1,mobile,704.3745737692917,False,28,0
don_000024,12.55,2025-08-18 23:28:45,Hope this makes a difference.,5,tablet,1115.4067026177804,False,221,0
don_000025,18.14,2025-08-14 00:27:46,Great cause! Happy to help.,3,desktop,58.296080061925416,True,153,0
don_000026,20.69,2025-08-22 12:51:41,Great cause! Happy to help.,2,desktop,357.4380796692779,False,70,0
don_000027,5.72,2025-08-18 05:39:38,,1,desktop,63.84019577282341,False,342,0
don_000028,57.03,2025-08-08 10:06:21,For a better tomorrow.,1,desktop,607.0434884404274,False,65,0
don_000029,27.13,2025-08-18 11:53:32,For a better tomorrow.,3,mobile,343.82963923192364,False,57,0
don_000030,9.14,2025-08-17 18:31:14,Great cause! Happy to help.,0,mobile,470.24603549129654,False,266,0
don_000031,10.06,2025-08-10 16:41:37,For a better tomorrow.,1,desktop,163.3129605051847,True,182,0
don_000032,26.29,2025-08-13 11:39:07,,0,tablet,336.1360547368181,True,184,0
don_000033,47.55,2025-08-03 23:47:24,,2,desktop,716.9438131197314,True,253,0
don_000034,85.56,2025-08-30 02:17:21,,2,desktop,383.6926249761744,False,148,0
don_000035,11.12,2025-08-08 19:59:28,For a better tomorrow.,0,tablet,901.8223971231484,False,29,0
don_000036,10.09,2025-08-26 10:55:06,Hope this makes a difference.,0,desktop,446.8892022972917,False,253,0
don_000037,16.78,2025-08-12 09:49:32,For a better tomorrow.,1,tablet,358.8152922747442,False,119,0
don_000038,72.16,2025-08-08 10:58:40,Hope this makes a difference.,0,desktop,587.1062637838595,False,236,0
don_000039,7.63,2025-08-22 23:10:20,,2,tablet,208.56621699758588,True,45,0
don_000040,21.58,2025-08-18 22:41:52,Keep up the good work!,3,mobile,138.43852271895156,True,270,0
don_000041,64.54,2025-08-13 15:06:44,Keep up the good work!,0,mobile,1137.5616125972615,False,309,1
don_000042,45.23,2025-08-27 13:29:37,Great cause! Happy to help.,1,desktop,647.2327148635591,False,188,0
don_000043,84.62,2025-08-11 04:28:13,,4,desktop,88.14710734170575,False,84,0
don_000044,43.45,2025-08-16 06:25:01,Great cause! Happy to help.,0,tablet,53.49845071797466,False,267,0
don_000045,91.55,2025-08-03 05:46:21,,1,mobile,87.65790805209953,True,252,0
don_000046,310.73,2025-08-11 15:27:38,Hope this makes a difference.,1,tablet,622.7086444492694,False,239,0
don_000047,58.48,2025-08-02 01:59:59,Great cause! Happy to help.,1,desktop,686.1787758328953,False,326,0
don_000048,105.22,2025-08-15 20:07:46,Keep up the good work!,2,desktop,229.20815360351003,False,36,0
don_000049,54.34,2025-08-19 23:59:28,Hope this makes a difference.,1,tablet,1806.154703081463,True,344,0
don_000050,95.05,2025-08-13 12:32:27,Keep up the good work!,3,mobile,339.14671667084673,False,339,0
don_000051,24.84,2025-08-03 17:42:56,Great cause! Happy to help.,0,mobile,640.8809015329019,False,60,0
don_000052,9.16,2025-08-10 18:24:47,,4,desktop,1317.761728665945,False,58,1
don_000053,59.08,2025-08-28 01:24:46,Keep up the good work!,4,mobile,243.14596604934678,False,233,0
don_000054,19.38,2025-08-15 19:13:35,Great cause! Happy to help.,0,mobile,406.8684960301139,False,188,0
don_000055,92.54,2025-08-10 20:19:41,Keep up the good work!,3,desktop,477.26535775885884,True,213,0
don_000056,117.79,2025-08-24 18:14:48,,3,mobile,173.78104213354757,False,185,0
don_000057,35.22,2025-08-19 17:32:41,Great cause! Happy to help.,5,desktop,800.4749661542437,False,342,0
don_000058,163.54,2025-08-22 19:12:05,Great cause! Happy to help.,3,tablet,49.34801959368028,False,61,0
don_000059,108.4,2025-08-07 11:03:27,,1,desktop,313.3034740910548,False,340,0
don_000060,3.87,2025-08-13 09:12:28,Hope this makes a difference.,1,mobile,19.03174964139469,False,216,0
don_000061,50.84,2025-08-07 07:16:53,Great cause! Happy to help.,2,tablet,369.3267941395078,False,168,0
don_000062,14.04,2025-08-12 11:56:31,Keep up the good work!,1,tablet,26.5325479551547,True,69,0
don_000063,74.85,2025-08-27 18:38:29,Hope this makes a difference.,2,tablet,647.4802814583421,False,285,1
don_000064,33.72,2025-08-26 16:33:15,For a better tomorrow.,2,tablet,288.99171563665067,False,271,0
don_000065,56.29,2025-08-13 06:42:59,For a better tomorrow.,0,tablet,12.83880477073719,True,253,0
don_000066,13.12,2025-08-28 21:41:32,Great cause! Happy to help.,0,desktop,85.06037078642707,False,134,0
don_000067,243.12,2025-08-21 07:45:42,For a better tomorrow.,1,tablet,626.9246438883879,False,250,0
don_000068,7.29,2025-08-28 20:27:55,For a better tomorrow.,4,mobile,142.33064613703175,False,324,1
don_000069,99.63,2025-08-19 21:56:08,Great cause! Happy to help.,2,mobile,61.69019611998802,True,294,0
don_000070,56.41,2025-08-18 02:21:24,Great cause! Happy to help.,1,mobile,338.25898289861664,True,142,0
don_000071,83.89,2025-08-11 04:07:38,For a better tomorrow.,1,tablet,284.4495656511619,False,172,0
don_000072,234.84,2025-08-07 05:46:06,Hope this makes a difference.,1,tablet,234.69200232753076,False,70,0
don_000073,5.95,2025-08-25 06:14:29,For a better tomorrow.,3,tablet,88.92643438365366,True,88,0
don_000074,42.05,2025-08-24 11:35:16,Keep up the good work!,0,tablet,440.6736889036453,True,320,0
don_000075,16.11,2025-08-04 22:31:02,Great cause! Happy to help.,2,mobile,515.413578922491,False,231,0
don_000076,428.22,2025-08-02 19:29:41,,4,mobile,35.94207765157851,False,43,1
don_000077,3.18,2025-08-05 20:21:02,,0,tablet,9.194943923616853,False,92,0
don_000078,46.39,2025-08-07 22:40:23,For a better tomorrow.,0,tablet,192.07859414743425,False,234,0
don_000079,15.69,2025-08-08 06:59:34,Keep up the good work!,1,mobile,842.2652530929793,False,126,0
don_000080,15.69,2025-08-21 00:27:08,Hope this makes a difference.,5,mobile,97.66664802022349,False,294,0
don_000081,21.62,2025-08-29 11:28:01,Great cause! Happy to help.,4,desktop,748.9772516717935,False,78,0
don_000082,63.85,2025-08-03 14:36:55,Keep up the good work!,3,desktop,54.41875940335901,False,142,0
don_000083,25.98,2025-08-19 04:53:12,For a better tomorrow.,3,mobile,1129.3952572729631,False,192,0
don_000084,48.86,2025-08-19 01:13:08,,3,mobile,173.51138937309852,True,248,0
don_000085,28.33,2025-08-29 10:51:38,Hope this makes a difference.,1,desktop,697.9189368315386,False,302,0
don_000086,70.03,2025-08-23 05:55:04,Hope this makes a difference.,0,mobile,341.024798286678,False,322,0
don_000087,70.39,2025-08-26 05:03:47,,0,tablet,398.7306578476965,True,99,0
don_000088,106.71,2025-08-12 17:31:08,Keep up the good work!,1,tablet,77.15382727105968,False,130,0
don_000089,27.76,2025-08-27 09:09:18,Hope this makes a difference.,2,desktop,43.92776083430254,False,278,0
don_000090,19.69,2025-08-01 01:58:35,Great cause! Happy to help.,2,mobile,44.32693388890335,False,204,0
don_000091,42.29,2025-08-06 02:03:45,For a better tomorrow.,2,mobile,837.7877016413386,True,331,0
don_000092,14.92,2025-08-26 14:12:57,For a better tomorrow.,0,desktop,750.6212702273128,False,197,0
don_000093,169.38,2025-08-13 11:28:26,For a better tomorrow.,2,mobile,58.94010398594012,False,52,0
don_000094,23.04,2025-08-17 00:56:00,Great cause! Happy to help.,1,mobile,63.245497965585606,False,189,0
don_000095,32.93,2025-08-05 22:34:04,Keep up the good work!,0,desktop,523.7841932034858,False,250,0
don_000096,61.76,2025-08-14 18:33:09,Keep up the good work!,2,mobile,1014.7512690851148,False,289,0
don_000097,208.36,2025-08-21 15:08:18,Hope this makes a difference.,1,desktop,6.114472179484654,True,78,0
don_000098,36.0,2025-08-08 04:52:02,For a better tomorrow.,1,mobile,403.5548318666744,False,248,0
don_000099,107.79,2025-08-22 13:13:36,Keep up the good work!,3,mobile,303.06387783847543,False,124,0
don_000100,139.84,2025-07-31 16:22:52,For a better tomorrow.,1,mobile,164.92136294937924,False,106,0
don_000101,292.75,2025-08-13 07:28:14,Hope this makes a difference.,4,desktop,104.20208071803225,True,186,0
don_000102,2.59,2025-08-24 19:49:31,Keep up the good work!,1,desktop,1832.4800612612837,False,323,0
don_000103,17.62,2025-08-09 04:44:41,Hope this makes a difference.,3,mobile,840.4535837439984,True,57,0
don_000104,11.27,2025-08-25 04:05:32,For a better tomorrow.,5,desktop,1349.5091807735591,False,358,0
don_000105,59.76,2025-08-05 16:34:40,Great cause! Happy to help.,1,mobile,13.360408433255682,False,178,0
don_000106,136.36,2025-08-15 00:18:49,Great cause! Happy to help.,1,desktop,450.86206510786786,True,348,1
